name,date,time,value
pm1,1/6/2009,12:00:00,7.32E-09
pm2p5,1/6/2009,12:00:00,8.56E-09
pm10,1/6/2009,12:00:00,1.20E-08
U10M,1/6/2009,12:00:00,-1.98911
V10M,1/6/2009,12:00:00,3.43829
T2M,1/6/2009,12:00:00,289.455
D2M,1/6/2009,12:00:00,287.306
pm1,1/6/2009,15:00:00,8.60E-09
pm2p5,1/6/2009,15:00:00,1.00E-08
pm10,1/6/2009,15:00:00,1.41E-08
U10M,1/6/2009,15:00:00,-2.46325
V10M,1/6/2009,15:00:00,3.00025
T2M,1/6/2009,15:00:00,288.795
D2M,1/6/2009,15:00:00,286.412
pm1,1/6/2009,18:00:00,8.86E-09
pm2p5,1/6/2009,18:00:00,1.04E-08
pm10,1/6/2009,18:00:00,1.46E-08
U10M,1/6/2009,18:00:00,-2.36835
V10M,1/6/2009,18:00:00,2.66958
T2M,1/6/2009,18:00:00,290.114
D2M,1/6/2009,18:00:00,287.379
pm1,1/6/2009,21:00:00,8.78E-09
pm2p5,1/6/2009,21:00:00,1.05E-08
pm10,1/6/2009,21:00:00,1.49E-08
U10M,1/6/2009,21:00:00,-2.78356
V10M,1/6/2009,21:00:00,2.87832
T2M,1/6/2009,21:00:00,290.643
D2M,1/6/2009,21:00:00,287.358
pm1,1/7/2009,0:00:00,1.00E-08
pm2p5,1/7/2009,0:00:00,1.29E-08
pm10,1/7/2009,0:00:00,1.83E-08
U10M,1/7/2009,0:00:00,-2.6128
V10M,1/7/2009,0:00:00,5.64473
T2M,1/7/2009,0:00:00,290.774
D2M,1/7/2009,0:00:00,286.716
pm1,1/7/2009,3:00:00,9.71E-09
pm2p5,1/7/2009,3:00:00,1.29E-08
pm10,1/7/2009,3:00:00,1.83E-08
U10M,1/7/2009,3:00:00,-0.426105
V10M,1/7/2009,3:00:00,4.60787
T2M,1/7/2009,3:00:00,290.836
D2M,1/7/2009,3:00:00,287.212
pm1,1/7/2009,6:00:00,1.23E-08
pm2p5,1/7/2009,6:00:00,1.66E-08
pm10,1/7/2009,6:00:00,2.33E-08
U10M,1/7/2009,6:00:00,0.12343
V10M,1/7/2009,6:00:00,2.00228
